SPO2,IR,RED
,146929.0,48375.0
,146968.0,48559.0
,147041.0,48159.0
,146987.0,48400.0
,147342.0,48368.0
,147901.0,48092.0
,148110.0,48718.0
,147935.0,48480.0
,147906.0,48578.0
,148296.0,48663.0
,148458.0,48306.0
,148198.0,48642.0
,148740.0,48601.0
,148965.0,48889.0
,149151.0,48468.0
,149181.0,48935.0
,149511.0,48547.0
,149465.0,49168.0
,149611.0,48854.0
,149758.0,49027.0
,149717.0,49215.0
,149916.0,48873.0
,150402.0,48812.0
,150003.0,49028.0
,150462.0,49045.0
,150903.0,49849.0
,150955.0,49237.0
,150733.0,49094.0
,151062.0,48804.0
,151068.0,49101.0
,151041.0,49235.0
,151098.0,48868.0
,151042.0,48552.0
,151127.0,48726.0
,151126.0,49318.0
,150248.0,48921.0
,149682.0,48748.0
,148928.0,48463.0
,147834.0,48249.0
,146432.0,48097.0
,145290.0,47953.0
,144251.0,47538.0
,143587.0,47619.0
,143195.0,47154.0
,143074.0,47737.0
,142894.0,47065.0
,142696.0,47320.0
,143055.0,47547.0
,142579.0,47151.0
,143132.0,47887.0
,143010.0,47198.0
,143423.0,47503.0
,143308.0,47720.0
,143113.0,47615.0
,143389.0,47930.0
,143388.0,47504.0
,144016.0,47787.0
,143895.0,47479.0
,143670.0,47776.0
,143620.0,47766.0
,143485.0,47635.0
,143941.0,47409.0
,143937.0,47451.0
,144146.0,47844.0
,144600.0,47490.0
,144667.0,47531.0
,145412.0,47571.0
,145711.0,48199.0
,145792.0,48151.0
,146481.0,48316.0
,146500.0,48171.0
,146764.0,48221.0
,146440.0,48417.0
,146922.0,47959.0
,146840.0,48297.0
,146779.0,48415.0
,146737.0,47754.0
,146700.0,48058.0
,146522.0,47807.0
,146869.0,48035.0
,146472.0,48104.0
,146471.0,47736.0
,146824.0,48165.0
,146683.0,48452.0
,147129.0,48080.0
,147399.0,48857.0
,147290.0,48477.0
,147223.0,48552.0
,147272.0,48525.0
,147882.0,48545.0
,147490.0,48465.0
,147937.0,48298.0
,147923.0,48522.0
,148386.0,48512.0
,148370.0,48603.0
,148750.0,48964.0
,148682.0,48420.0
,149090.0,48637.0
,148957.0,48543.0
,149325.0,48841.0
,149285.0,48690.0
,149599.0,48548.0
,149544.0,48698.0
,149733.0,48961.0
,150047.0,49010.0
,150276.0,48869.0
,149952.0,48887.0
